date,number-1,number-2,number-3,number-4,number-5,number-6,prize
04/05/2022,01,04,23,28,33,38,15.915.138.500
01/05/2022,08,21,26,35,37,42,14.476.477.000
29/04/2022,05,12,16,25,26,32,13.161.021.000
27/04/2022,03,09,14,17,27,32,36.546.933.000
24/04/2022,09,12,23,30,32,40,32.384.289.000
22/04/2022,11,13,15,18,24,36,28.476.669.500
20/04/2022,01,08,17,21,27,37,26.148.270.500
17/04/2022,05,13,15,28,38,40,24.256.968.000
15/04/2022,09,18,21,25,35,44,22.501.089.500
13/04/2022,01,07,20,25,40,41,20.906.620.000
10/04/2022,04,17,28,30,38,42,19.102.705.000
08/04/2022,02,13,16,19,20,36,17.611.855.000
06/04/2022,13,17,19,25,32,45,16.086.020.000
03/04/2022,05,11,20,26,40,43,14.573.466.500
01/04/2022,02,19,25,32,41,44,13.219.566.000
30/03/2022,01,12,26,28,39,45,22.422.244.500
27/03/2022,08,17,21,39,44,45,20.912.630.500
25/03/2022,01,12,13,27,29,35,19.431.284.000
23/03/2022,02,09,37,38,40,43,17.867.079.000
20/03/2022,01,09,10,12,22,44,16.182.991.000
18/03/2022,06,10,15,29,41,42,14.843.907.500
16/03/2022,10,11,14,24,31,45,13.414.721.000
13/03/2022,01,05,19,20,23,38,36.253.032.000
11/03/2022,06,20,23,29,34,45,32.340.443.500
09/03/2022,03,15,35,39,40,43,28.814.538.500
06/03/2022,11,16,21,33,34,42,25.072.243.500
04/03/2022,03,19,21,24,27,38,23.151.086.500
02/03/2022,07,10,13,20,21,34,21.457.475.500
27/02/2022,10,20,25,27,38,45,19.617.776.000
25/02/2022,10,13,30,33,39,41,18.128.463.500
23/02/2022,02,16,18,19,24,29,16.542.911.000
20/02/2022,04,06,16,30,43,44,14.939.869.500
18/02/2022,03,14,20,26,28,36,13.446.070.000
16/02/2022,02,05,08,16,22,42,43.057.471.000
13/02/2022,14,21,22,24,28,45,38.734.645.000
11/02/2022,10,11,19,38,41,44,36.100.164.000
09/02/2022,03,20,27,37,44,45,34.007.667.500
06/02/2022,05,09,21,24,34,39,31.614.479.500
04/02/2022,11,16,18,38,40,43,29.607.165.500
02/02/2022,05,06,14,20,31,38,27.709.922.500
30/01/2022,01,07,22,26,28,41,25.769.631.000
28/01/2022,04,06,12,26,27,39,23.684.465.000
26/01/2022,05,11,15,18,27,43,21.964.946.000
23/01/2022,13,20,24,32,34,40,20.275.298.500
21/01/2022,01,13,17,24,27,42,18.432.653.000
19/01/2022,14,21,25,34,37,39,16.793.959.500
16/01/2022,01,03,04,05,32,33,15.005.629.500
14/01/2022,05,14,27,30,38,45,13.303.467.000
12/01/2022,03,06,13,15,36,44,23.657.658.500
09/01/2022,06,07,11,22,35,41,21.975.994.000
07/01/2022,10,13,24,28,38,44,20.272.931.500
05/01/2022,01,03,08,09,35,40,18.547.498.500
02/01/2022,11,17,30,36,41,45,16.699.523.500
31/12/2021,02,05,12,33,41,45,15.087.497.500
29/12/2021,05,27,33,34,38,40,13.578.555.500
26/12/2021,04,11,16,24,35,44,16.762.864.500
24/12/2021,03,17,25,26,36,38,15.138.833.000
22/12/2021,08,16,17,23,28,38,13.485.049.000
19/12/2021,12,15,24,30,36,45,20.636.521.000
17/12/2021,08,15,16,21,25,33,18.887.000.500
15/12/2021,03,18,29,30,39,41,17.097.562.500
12/12/2021,16,21,29,40,41,43,15.281.516.500
10/12/2021,01,04,17,19,24,42,13.578.476.000
08/12/2021,02,03,16,19,22,34,98.295.409.000
05/12/2021,03,05,06,31,34,35,90.627.189.000
03/12/2021,10,14,29,37,38,40,83.634.807.000
01/12/2021,08,09,30,31,38,45,77.215.625.000
28/11/2021,13,17,26,27,31,37,71.075.874.500
26/11/2021,04,18,25,29,32,34,65.028.430.500
24/11/2021,02,10,18,23,34,36,59.369.630.000
21/11/2021,01,12,29,40,44,45,53.981.901.500
19/11/2021,09,10,26,28,39,43,49.093.217.500
